"name","LONGITUDE","LATITUDE","Ernst...Young","Arthur.Andersen","MSI","IGAF","AGN","BDO","Grant.Thornton","Horwath","KPMG","Summit...Baker","RSM","Moores.Rowland","HLB","Moore.Stephens","Nexia","PKF","Fiducial","PWC","Impiric","TMP","Hakuhodo","Draft.Worldwide","Densu.Y...R","D.Arcy","FCB","Saatchi...Saatchi","O.M","BBDO","McCann.Erickson","J.Walter.Thompson","Euro.RSCG","CMG","Asatsu.DK","West.LB","Dresdner","Commerzbank","Deutsche","Chase","BNP.Paribas","ABN.Amro","CSFB","Rabobank","UBS","ING","Barclays","Fuji","BHV","BLG","Sakura","Sumitomo","Sanwa","JP.Morgan","BTM","DKB","HSBC","Citibank","Allianz","Skandia","Chubb","Prudential","Reliance","Winterthur","Fortis","CGNU","Liberty","Royal...Sun","Lloyds","Latham...Watkins","Morgan.Lewis","Baker...McKenzie","Clifford.Chance","Jones.Day","FBD","Allen...Overy","Dorsey...Whitney","Linklaters","White...Case","Cameron.McKenna","Morrison...Foerster","Lovells","Skadden","Sidley...Austin","Coudert","Towers.Perrin","Logica","Watson.Wyatt","Sema","CSC","Hewitt","IBM","Mercer","Boston","Deloitte","BoozeA.M","A.T..Kearney","McKinsey","Bain","Compass","Andersen.Consulting","Gemini"
"ABERDEEN",-2.07998702128,57.1703979687,2,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABIJAN",-4.033333,5.316667,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"ABU DHABI",54.3665933826,24.4666835724,2,2,0,0,2,0,0,2,2,0,2,0,2,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0
"ACCRA",-0.21671574035,5.55003460583,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"ADDIS ABABA",38.700004434,9.03331036268,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ADELAIDE",138.600004841,-34.9349877739,2,2,2,3,2,0,0,2,2,0,3,2,2,2,2,2,0,2,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHMADABAD",72.58,23.03,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXANDRIA",29.949995889,31.2000193471,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALGIERS",3.05055252952,36.763064798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ALMATY",76.9150361724,43.3249898469,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"AMMAN",35.9332999255,31.9500252472,2,0,0,2,0,3,0,2,2,0,0,2,0,0,2,3,2,2,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
"AMSTERDAM",4.91664017601,52.3499686881,2,2,0,0,2,2,2,5,5,0,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2,3,3,3,3,2,2,2,2,0,2,2,2,2,5,2,2,0,5,3,2,2,0,0,0,2,0,2,2,3,2,3,0,0,0,3,3,4,0,0,2,0,0,0,4,3,0,3,4,0,3,0,2,0,0,0,0,0,3,2,2,2,0,2,3,0,2,0,2,2,4,1,0,2,0
"ANKARA",32.864391641,39.9272385855,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANTWERP",4.41501704776,51.2203735546,2,2,0,0,2,0,2,0,2,0,0,3,2,0,0,3,3,2,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,3,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ARHUS",10.216667,56.15,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASUNCION",-57.633333,-25.3,0,0,0,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"ATHENS",23.7333210843,37.9833262319,0,2,0,0,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,0,0,0,2,2,4,0,2,4,3,2,0,0,0,0,3,0,2,2,4,3,0,0,0,2,2,0,2,0,0,2,0,0,0,0,3,3,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0
"ATLANTA",-84.3999493833,33.830013854,3,3,2,3,2,0,1,2,3,0,3,3,2,2,0,2,0,2,0,3,0,0,0,0,2,0,2,2,3,3,0,2,0,0,0,2,2,3,0,2,2,2,0,3,2,0,0,0,0,2,0,2,2,0,0,3,0,0,2,0,0,2,1,3,3,0,2,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,3,0,2,3,0,2,0,0,2,0,2,2,2,3,2,2,0
"AUCKLAND",174.76302698708,-36.84805489493,2,2,0,2,2,0,2,3,3,2,2,2,3,3,0,3,2,2,2,2,0,2,3,0,2,2,2,3,3,2,0,2,0,0,0,0,2,0,2,2,2,2,0,2,2,0,0,0,0,2,0,0,2,0,3,2,2,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,2,0,0,2,0
"BAGHDAD",44.3938687732,33.3386484975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAKU",49.8622171619,40.3952720327,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALTIMORE",-76.6199849871,39.2999900503,2,2,0,2,0,0,1,0,3,0,0,2,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"BANDA SERI BEGAWAN",114.942222,4.890278,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"BANDUNG",107.570012572,-6.95002927768,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BANGALORE",77.5600097238,12.9699951365,2,2,0,0,1,0,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0,2,3,0,2,0,2,2,2,3,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
"BANGKOK",100.516644652,13.7499992055,0,0,2,0,1,2,2,3,3,0,2,2,2,2,2,2,0,2,0,0,3,2,3,2,2,2,2,2,2,0,0,0,3,2,0,2,2,2,3,0,2,3,0,3,2,3,0,2,3,3,3,2,4,3,2,2,2,0,2,2,0,1,2,3,0,2,0,0,0,3,2,0,0,2,0,2,2,0,0,0,0,0,2,0,0,2,0,0,2,3,0,2,2,2,0,2,0,0,2,0
"BARCELONA",2.18337031923,41.3832995799,2,2,2,2,2,0,0,2,2,0,2,3,3,2,2,2,3,2,2,3,0,0,2,2,2,0,2,3,3,3,0,0,0,0,0,2,4,2,0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,2,2,2,0,2,0,3,3,0,3,0,3,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,0,2,2,2
"BASEL",7.59001704777,47.5803890168,2,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATAM",104.033333,1.083333,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEIJING",116.388285684,39.9288922313,0,2,0,0,0,1,2,2,2,0,2,2,2,2,2,0,0,2,2,0,2,0,3,2,2,2,2,2,2,2,2,0,4,2,3,2,2,3,2,2,2,2,0,3,3,2,2,3,2,3,2,2,2,2,2,0,2,0,2,0,0,2,2,2,0,0,0,0,0,2,2,0,2,1,0,0,0,2,2,2,2,0,0,0,2,2,3,0,2,2,2,0,0,0,2,2,2,0,2,0
"BEIRUT",35.50970821,33.871975117,2,2,0,2,2,2,2,4,2,0,2,2,3,0,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
"BELFAST",-5.96003442527,54.6000122265,2,0,0,0,1,0,0,2,2,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BELGRADE",20.4679906806,44.8186454458,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"BELO HORIZONTE",-43.9150045182,-19.9150260225,2,2,0,0,0,0,0,2,2,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BERGEN",5.32452225609,60.3910024202,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BERLIN",13.4015486233,52.5218186636,0,2,0,2,2,0,0,3,3,0,2,4,2,0,0,3,2,3,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,2,3,4,2,0,2,0,0,2,2,2,0,3,3,0,0,0,0,2,0,2,3,2,3,0,0,0,3,2,0,0,0,0,0,0,2,3,0,2,0,0,3,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2
"BERN",7.46697546248,46.9166827587,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"BILBAO",-2.92998681783,43.2499815054,2,2,0,0,0,0,0,0,2,0,2,2,0,2,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
"BIRMINGHAM",-1.9199967869,52.4749739778,2,2,0,0,2,0,0,2,2,3,3,0,3,2,0,2,0,2,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"BOGOTA",-74.072222,4.711111,0,2,2,0,1,2,2,2,2,0,2,2,2,2,2,2,0,2,0,2,0,0,0,2,2,0,2,2,3,2,0,0,0,2,3,0,2,2,2,4,0,0,0,2,3,2,0,0,0,0,0,0,2,0,0,3,0,3,2,0,0,1,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,2,0,0,2,0
"BOLOGNA",11.3400207099,44.5004219758,0,3,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BONN",7.08002233748,50.7204557486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BORDEAUX",-0.59501306294,44.8500130402,0,0,0,0,0,0,0,0,3,0,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOSTON",-71.0700136736,42.3299601431,3,2,3,3,0,0,1,0,3,2,0,3,2,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,3,0,2,2,0,0,0,2,0,0,0,0,0,0,2,3,0,0,3,0,0,2,0,2,3,2,4,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,3,2,0,2,5,0,2,2,2,5,0,2,2
"BRATISLAVA",17.1169807522,48.15001833,3,2,0,2,2,2,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0
"BRAZILIA",-47.882778,-15.793889,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRAZZAVILLE",15.2846894925,-4.25918577181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRISBANE",153.035092732,-27.4550309054,2,2,2,3,3,0,0,2,2,0,3,3,2,2,2,2,0,2,0,2,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
